year,metrictype,threshvalue1,threshvalue5,threshvalue10,threshvalue25,threshvalue50,threshvalue75,threshvalue100
1999,SNIP,3.89400005340576,2.0239999294281,1.51100003719329,1.04100000858306,0.646000027656555,0.294999986886978,0
2000,SNIP,3.86800003051757,1.9869999885559,1.51199996471405,1.04799997806549,0.64300000667572,0.293999999761581,0
2001,SNIP,3.9779999256134,1.95299994945526,1.48800003528595,1.00199997425079,0.591000020503997,0.208000004291534,0
2002,SNIP,3.76500010490417,1.93099999427795,1.47800004482269,0.991999983787536,0.569000005722045,0.196999996900558,0
2003,SNIP,4.04400014877319,1.99600005149841,1.52900004386901,1.01199996471405,0.568000018596649,0.166999995708465,0
2004,SNIP,3.94199991226196,2.02099990844726,1.55999994277954,1.03100001811981,0.591000020503997,0.180999994277954,0
2005,SNIP,4.02099990844726,2.10400009155273,1.59200000762939,1.06700003147125,0.610000014305114,0.212999999523162,0
2006,SNIP,4.01999998092651,2.07399988174438,1.60099995136261,1.07799994945526,0.617999970912933,0.215000003576278,0
2007,SNIP,3.91599988937377,2.03699994087219,1.5789999961853,1.05499994754791,0.593999981880188,0.189999997615814,0
2008,SNIP,3.66499996185302,1.99899995326995,1.53999996185302,1.02300000190734,0.574000000953674,0.182999998331069,0
2009,SNIP,3.75099992752075,2.04299998283386,1.60399997234344,1.05599999427795,0.592999994754791,0.203999996185302,0
2010,SNIP,3.56399989128112,2.00300002098083,1.56500005722045,1.04999995231628,0.600000023841857,0.21400000154972,0
2011,SNIP,3.74699997901916,2.10700011253356,1.61300003528595,1.0900000333786,0.637000024318695,0.254999995231628,0
2012,SNIP,3.78399991989135,2.10400009155273,1.64100003242492,1.09700000286102,0.643999993801116,0.261999994516372,0
2013,SNIP,3.87899994850158,2.12700009346008,1.64400005340576,1.10099995136261,0.656000018119812,0.282000005245208,0
2014,SNIP,3.6800000667572,2.06900000572204,1.61500000953674,1.0900000333786,0.666000008583068,0.287000000476837,0
2015,SNIP,3.57399988174438,2.02200007438659,1.56299996376037,1.05999994277954,0.657000005245208,0.293000012636184,0
2016,SNIP,3.55800008773803,2.00699996948242,1.55700004100799,1.05900001525878,0.662000000476837,0.314999997615814,0
2017,SNIP,3.56800007820129,2.02099990844726,1.57200002670288,1.07099997997283,0.675000011920929,0.324000000953674,0
2018,SNIP,3.72699999809265,2.0569999217987,1.60000002384185,1.09599995613098,0.699000000953674,0.347999989986419,0
2019,SNIP,3.93799996376037,2.13800001144409,1.63399994373321,1.11600005626678,0.713999986648559,0.358999997377395,0
2020,SNIP,4.16400003433227,2.28500008583068,1.77799999713897,1.21000003814697,0.773000001907348,0.388000011444091,0
2021,SNIP,4.16400003433227,2.28500008583068,1.77799999713897,1.21000003814697,0.773000001907348,0.388000011444091,0
